# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 298
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 27671079937
#
# Overhead  Command          Shared Object                Symbol                                                   
# ........  ...............  ...........................  .........................................................
#
     0.02%  iperf3           [kernel.kallsyms]            [k] netif_rx_internal
     0.02%  iperf3           [kernel.kallsyms]            [k] __kfree_skb_flush
     0.02%  iperf3           [kernel.kallsyms]            [k] fl6_update_dst
     0.02%  iperf3           [kernel.kallsyms]            [k] __cgroup_account_cputime
     0.02%  iperf3           [kernel.kallsyms]            [k] __skb_clone
     0.02%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee5ba
     0.02%  iperf3           [kernel.kallsyms]            [k] __tcp_select_window
     0.02%  Xorg             [kernel.kallsyms]            [k] do_syscall_64
     0.02%  iperf3           [kernel.kallsyms]            [k] poll_select_copy_remaining
     0.02%  iperf3           [kernel.kallsyms]            [k] ktime_get_update_offsets_now
     0.02%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee59e
     0.02%  iperf3           [kernel.kallsyms]            [k] calc_wheel_index
     0.02%  iperf3           [kernel.kallsyms]            [k] inode_has_perm
     0.02%  iperf3           [kernel.kallsyms]            [k] put_prev_entity
     0.02%  iperf3           [kernel.kallsyms]            [k] __nf_ct_refresh_acct
     0.02%  iperf3           [kernel.kallsyms]            [k] fib6_node_lookup
     0.02%  iperf3           [kernel.kallsyms]            [k] resched_curr
     0.02%  iperf3           [kernel.kallsyms]            [k] _copy_to_user
     0.02%  iperf3           [kernel.kallsyms]            [k] __usecs_to_jiffies
     0.02%  swapper          [kernel.kallsyms]            [k] native_sched_clock
     0.02%  iperf3           [kernel.kallsyms]            [k] lock_timer_base
     0.02%  swapper          [kernel.kallsyms]            [k] __update_load_avg_se
     0.02%  iperf3           [kernel.kallsyms]            [k] get_nohz_timer_target
     0.02%  swapper          [kernel.kallsyms]            [k] rcu_qs
