# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 223
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 25727937029
#
# Overhead  Command          Shared Object                            Symbol                                                   
# ........  ...............  .......................................  .........................................................
#
     0.05%  ksoftirqd/3      [kernel.kallsyms]                        [k] tcp_v6_rcv
     0.05%  ksoftirqd/1      [kernel.kallsyms]                        [k] tcp_wfree
     0.05%  iperf3           [kernel.kallsyms]                        [k] ip6_rt_copy_init
     0.05%  iperf3           [kernel.kallsyms]                        [k] ksys_read
     0.05%  iperf3           [kernel.kallsyms]                        [k] file_has_perm
     0.05%  iperf3           libiperf.so.0.0.0                        [.] iperf_run_server
     0.05%  ksoftirqd/2      [kernel.kallsyms]                        [k] sk_filter_trim_cap
     0.05%  swapper          [kernel.kallsyms]                        [k] dst_destroy
     0.05%  ksoftirqd/0      [kernel.kallsyms]                        [k] dst_destroy
     0.05%  iperf3           [kernel.kallsyms]                        [k] __mod_zone_page_state
     0.05%  swapper          [kernel.kallsyms]                        [k] __cgroup_bpf_run_filter_skb
     0.05%  iperf3           [kernel.kallsyms]                        [k] validate_xmit_xfrm
     0.05%  ksoftirqd/0      [kernel.kallsyms]                        [k] __inet6_lookup_established
     0.05%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6_dst_check
     0.05%  Xorg             [kernel.kallsyms]                        [k] do_syscall_64
     0.05%  iperf3           [kernel.kallsyms]                        [k] tcp_v6_send_check
     0.05%  iperf3           [kernel.kallsyms]                        [k] __sched_text_start
     0.05%  ksoftirqd/2      [kernel.kallsyms]                        [k] ip6t_do_table
     0.05%  iperf3           [kernel.kallsyms]                        [k] ipv6_confirm
     0.05%  iperf3           [kernel.kallsyms]                        [k] inode_has_perm
     0.05%  iperf3           [kernel.kallsyms]                        [k] ip6_autoflowlabel.part.0
     0.05%  iperf3           [kernel.kallsyms]                        [k] alloc_pages_current
     0.05%  ksoftirqd/3      [kernel.kallsyms]                        [k] percpu_array_map_lookup_elem
     0.05%  iperf3           [kernel.kallsyms]                        [k] __pskb_trim_head
     0.05%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_v6_early_demux
     0.05%  iperf3           [kernel.kallsyms]                        [k] __tcp_send_ack.part.0
     0.05%  ksoftirqd/3      [kernel.kallsyms]                        [k] kmem_cache_alloc
     0.05%  ksoftirqd/3      [kernel.kallsyms]                        [k] __slab_free
     0.04%  ksoftirqd/2      [kernel.kallsyms]                        [k] __list_del_entry_valid
     0.04%  iperf3           [kernel.kallsyms]                        [k] __page_cache_release
     0.04%  iperf3           [kernel.kallsyms]                        [k] consume_skb
     0.04%  iperf3           [kernel.kallsyms]                        [k] selinux_sk_getsecid
     0.04%  iperf3           [kernel.kallsyms]                        [k] tcp_established_options
     0.04%  iperf3           [kernel.kallsyms]                        [k] tcp_release_cb
     0.04%  iperf3           [kernel.kallsyms]                        [k] tcp_grow_window.isra.0
     0.04%  iperf3           [kernel.kallsyms]                        [k] __pollwait
     0.04%  iperf3           [kernel.kallsyms]                        [k] sched_clock
     0.04%  iperf3           [kernel.kallsyms]                        [k] percpu_counter_add_batch
     0.04%  ksoftirqd/3      [kernel.kallsyms]                        [k] kmem_cache_free
     0.04%  iperf3           [kernel.kallsyms]                        [k] __sk_dst_check
     0.04%  iperf3           [kernel.kallsyms]                        [k] tcp_ack_update_rtt.isra.0
     0.04%  iperf3           [kernel.kallsyms]                        [k] __sock_wfree
     0.04%  ksoftirqd/0      [kernel.kallsyms]                        [k] bad_range
     0.04%  iperf3           [kernel.kallsyms]                        [k] nf_ct_seq_offset
     0.04%  iperf3           libc-2.29.so                             [.] __select
     0.04%  ksoftirqd/0      [kernel.kallsyms]                        [k] tcp_v6_fill_cb
     0.04%  ksoftirqd/1      [kernel.kallsyms]                        [k] tcp_add_backlog
     0.04%  iperf3           [kernel.kallsyms]                        [k] nf_ct_deliver_cached_events
     0.04%  iperf3           [kernel.kallsyms]                        [k] is_skb_forwardable
     0.04%  iperf3           [kernel.kallsyms]                        [k] tcp_schedule_loss_probe
     0.04%  iperf3           [kernel.kallsyms]                        [k] netif_receive_skb_internal
     0.04%  iperf3           [kernel.kallsyms]                        [k] enqueue_to_backlog
     0.04%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_add_backlog
     0.04%  swapper          [kernel.kallsyms]                        [k] cpuidle_enter_state
     0.04%  iperf3           [kernel.kallsyms]                        [k] ktime_get_seconds
     0.04%  iperf3           [kernel.kallsyms]                        [k] tcp_parse_md5sig_option
     0.04%  iperf3           [kernel.kallsyms]                        [k] update_curr
     0.04%  ksoftirqd/0      [kernel.kallsyms]                        [k] eth_type_trans
     0.04%  iperf3           [kernel.kallsyms]                        [k] __build_skb_around
     0.04%  iperf3           [kernel.kallsyms]                        [k] kfree_skbmem
     0.04%  ksoftirqd/1      [kernel.kallsyms]                        [k] __cgroup_bpf_run_filter_skb
     0.04%  ksoftirqd/3      [kernel.kallsyms]                        [k] __cgroup_bpf_run_filter_skb
     0.04%  iperf3           [kernel.kallsyms]                        [k] skb_copy_header
     0.04%  ksoftirqd/3      [kernel.kallsyms]                        [k] __netif_receive_skb_core
     0.04%  swapper          [kernel.kallsyms]                        [k] rcu_cblist_dequeue
     0.04%  iperf3           [kernel.kallsyms]                        [k] dst_release
     0.04%  iperf3           [kernel.kallsyms]                        [k] PageHuge
